#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.001760   0.000100 
   5.24749   0.002002   0.000079 
   5.27773   0.001892   0.000080 
   5.30797   0.002005   0.000092 
   5.33821   0.001847   0.000069 
   5.36846   0.001776   0.000075 
   5.39870   0.001659   0.000071 
   5.42894   0.001601   0.000077 
   5.45918   0.001791   0.000070 
   5.48942   0.001780   0.000070 
   5.51967   0.001682   0.000063 
   5.54991   0.001523   0.000066 
   5.58015   0.001509   0.000065 
   5.61039   0.001570   0.000068 
   5.64063   0.001508   0.000063 
   5.67088   0.001518   0.000075 
   5.70112   0.001456   0.000070 
   5.73136   0.001457   0.000058 
   5.76160   0.001410   0.000062 
   5.79184   0.001483   0.000063 
   5.82209   0.001508   0.000060 
   5.85233   0.001419   0.000067 
   5.88257   0.001390   0.000066 
   5.91281   0.001420   0.000058 
   5.94305   0.001412   0.000067 
   5.97330   0.001596   0.000059 
   6.00354   0.001728   0.000063 
   6.03378   0.001502   0.000059 
   6.06402   0.001424   0.000064 
   6.09426   0.001455   0.000074 
   6.12451   0.001777   0.000062 
   6.15475   0.001769   0.000070 
   6.18499   0.001846   0.000066 
   6.21523   0.001791   0.000064 
   6.24547   0.001806   0.000062 
   6.27572   0.001876   0.000064 
   6.30596   0.001984   0.000092 
   6.33620   0.001881   0.000093 
   6.36644   0.001544   0.000079 
   6.39668   0.001471   0.000075 
   6.42693   0.001356   0.000069 
   6.45717   0.001247   0.000073 
   6.48741   0.001161   0.000084 
   6.51765   0.001190   0.000089 
   6.54789   0.001110   0.000080 
   6.57814   0.001201   0.000082 
   6.60838   0.001003   0.000086 
   6.63862   0.001024   0.000088 
   6.66886   0.001183   0.000076 
   6.69910   0.001208   0.000079 
   6.72935   0.001208   0.000075 
   6.75959   0.001142   0.000085 
   6.78983   0.001053   0.000085 
   6.82007   0.001034   0.000089 
   6.85031   0.001182   0.000092 
   6.88056   0.001077   0.000097 
   6.91080   0.001228   0.000092 
   6.94104   0.001289   0.000102 
   6.97128   0.001254   0.000104 
   7.00152   0.001323   0.000112 
   7.03177   0.001215   0.000156 
   7.06201   0.001059   0.000112 
   7.09225   0.001324   0.000115 
   7.12249   0.001149   0.000126 
   7.15273   0.001131   0.000107 
   7.18298   0.001244   0.000108 
   7.21322   0.001224   0.000108 
   7.24346   0.001132   0.000115 
   7.27370   0.001385   0.000155 
