#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.006440   0.000290 
   5.24749   0.006580   0.000278 
   5.27773   0.006643   0.000257 
   5.30797   0.006379   0.000240 
   5.33821   0.006561   0.000239 
   5.36846   0.006298   0.000259 
   5.39870   0.006337   0.000242 
   5.42894   0.005811   0.000243 
   5.45918   0.005993   0.000237 
   5.48942   0.006066   0.000266 
   5.51967   0.005682   0.000213 
   5.54991   0.005563   0.000216 
   5.58015   0.005604   0.000211 
   5.61039   0.005549   0.000231 
   5.64063   0.005686   0.000222 
   5.67088   0.005619   0.000206 
   5.70112   0.005726   0.000208 
   5.73136   0.005488   0.000336 
   5.76160   0.005448   0.000504 
   5.79184   0.005329   0.000431 
   5.82209   0.005364   0.000221 
   5.85233   0.005532   0.000221 
   5.88257   0.005565   0.000214 
   5.91281   0.005401   0.000238 
   5.94305   0.005532   0.000224 
   5.97330   0.005532   0.000210 
   6.00354   0.005657   0.000210 
   6.03378   0.005353   0.000207 
   6.06402   0.005559   0.000227 
   6.09426   0.005606   0.000286 
   6.12451   0.005874   0.000218 
   6.15475   0.005674   0.000213 
   6.18499   0.005936   0.000223 
   6.21523   0.005685   0.000209 
   6.24547   0.005681   0.000219 
   6.27572   0.005809   0.000224 
   6.30596   0.005947   0.000230 
   6.33620   0.005971   0.000399 
   6.36644   0.005880   0.000273 
   6.39668   0.005844   0.000266 
   6.42693   0.005277   0.000255 
   6.45717   0.005173   0.000248 
   6.48741   0.004842   0.000290 
   6.51765   0.004629   0.000249 
   6.54789   0.004331   0.000272 
   6.57814   0.004420   0.000277 
   6.60838   0.004493   0.000286 
   6.63862   0.004127   0.000260 
   6.66886   0.004282   0.000267 
   6.69910   0.004288   0.000243 
   6.72935   0.004403   0.000264 
   6.75959   0.004267   0.000285 
   6.78983   0.004456   0.000283 
   6.82007   0.004333   0.000300 
   6.85031   0.004315   0.000283 
   6.88056   0.004470   0.000335 
   6.91080   0.004278   0.000295 
   6.94104   0.004435   0.000335 
   6.97128   0.004427   0.000366 
   7.00152   0.004537   0.000552 
   7.03177   0.004352   0.000340 
   7.06201   0.004173   0.000347 
   7.09225   0.004042   0.000363 
   7.12249   0.003996   0.000343 
   7.15273   0.004071   0.000336 
   7.18298   0.004474   0.000389 
   7.21322   0.004581   0.000421 
   7.24346   0.004747   0.000370 
   7.27370   0.004584   0.000416 
   7.30394   0.004392   0.000404 
   7.33419   0.004242   0.000389 
   7.36443   0.003915   0.000401 
   7.39467   0.003820   0.000539 
   7.42491   0.004222   0.000935 
   7.45515   0.003937   0.000427 
   7.48540   0.004340   0.000439 
   7.51564   0.003687   0.000261 
