#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.003546   0.000340 
   5.24749   0.003406   0.000331 
   5.27773   0.004181   0.000431 
   5.30797   0.003821   0.000389 
   5.33821   0.003444   0.000360 
   5.36846   0.003793   0.000411 
   5.39870   0.003153   0.000393 
   5.42894   0.003948   0.000376 
   5.45918   0.002773   0.000373 
   5.48942   0.003550   0.000322 
   5.51967   0.002657   0.000318 
   5.54991   0.003350   0.000436 
   5.58015   0.002677   0.000320 
   5.61039   0.002746   0.000291 
   5.64063   0.002511   0.000300 
   5.67088   0.003153   0.000322 
   5.70112   0.003035   0.000280 
   5.73136   0.003197   0.000302 
   5.76160   0.003222   0.000298 
   5.79184   0.003040   0.000331 
   5.82209   0.002404   0.000267 
   5.85233   0.002666   0.000287 
   5.88257   0.002668   0.000276 
   5.91281   0.002728   0.000275 
   5.94305   0.002606   0.000282 
   5.97330   0.003059   0.000293 
   6.00354   0.002769   0.000522 
   6.03378   0.003148   0.000533 
   6.06402   0.003519   0.000438 
   6.09426   0.003240   0.000293 
   6.12451   0.002982   0.000291 
   6.15475   0.003100   0.000313 
   6.18499   0.003553   0.000326 
   6.21523   0.003073   0.000320 
   6.24547   0.003142   0.000331 
   6.27572   0.003055   0.000320 
   6.30596   0.002968   0.000329 
   6.33620   0.002928   0.000331 
   6.36644   0.003330   0.000335 
   6.39668   0.003531   0.000424 
   6.42693   0.002722   0.000553 
   6.45717   0.002589   0.000402 
   6.48741   0.002195   0.000536 
   6.51765   0.001964   0.000391 
   6.54789   0.002446   0.000462 
   6.57814   0.002082   0.000529 
   6.60838   0.002157   0.000724 
   6.63862   0.001833   0.000473 
   6.66886   0.001637   0.000520 
   6.69910   0.001628   0.000489 
   6.72935   0.001828   0.000487 
   6.75959   0.002624   0.000515 
   6.78983   0.001713   0.000562 
   6.82007   0.002479   0.000591 
   6.85031   0.002737   0.000676 
   6.88056   0.002215   0.000482 
   6.91080   0.002680   0.000500 
   6.94104   0.002740   0.000831 
   6.97128   0.002229   0.000729 
   7.00152   0.002064   0.000527 
   7.03177   0.001840   0.000531 
   7.06201   0.001578   0.000544 
   7.09225   0.001971   0.000553 
   7.12249   0.002319   0.000480 
