#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.004679   0.000298 
   5.24749   0.004925   0.000464 
   5.27773   0.004633   0.000349 
   5.30797   0.004551   0.000238 
   5.33821   0.004719   0.000234 
   5.36846   0.004808   0.000246 
   5.39870   0.004716   0.000236 
   5.42894   0.004698   0.000229 
   5.45918   0.004491   0.000208 
   5.48942   0.004524   0.000239 
   5.51967   0.004175   0.000214 
   5.54991   0.004429   0.000204 
   5.58015   0.004186   0.000193 
   5.61039   0.004276   0.000204 
   5.64063   0.003997   0.000290 
   5.67088   0.004276   0.000197 
   5.70112   0.004356   0.000195 
   5.73136   0.003945   0.000335 
   5.76160   0.003932   0.000263 
   5.79184   0.004207   0.000193 
   5.82209   0.003943   0.000191 
   5.85233   0.003844   0.000203 
   5.88257   0.004375   0.000212 
   5.91281   0.004515   0.000237 
   5.94305   0.004242   0.000209 
   5.97330   0.004231   0.000192 
   6.00354   0.004609   0.000203 
   6.03378   0.004207   0.000199 
   6.06402   0.004027   0.000210 
   6.09426   0.004022   0.000218 
   6.12451   0.004019   0.000203 
   6.15475   0.003997   0.000255 
   6.18499   0.003942   0.000253 
   6.21523   0.004223   0.000228 
   6.24547   0.004466   0.000505 
   6.27572   0.004576   0.000204 
   6.30596   0.003975   0.000234 
   6.33620   0.003999   0.000250 
   6.36644   0.004006   0.000246 
   6.39668   0.003771   0.000226 
   6.42693   0.003684   0.000216 
   6.45717   0.003841   0.000231 
   6.48741   0.003912   0.000232 
   6.51765   0.003350   0.000238 
   6.54789   0.003113   0.000261 
   6.57814   0.003385   0.000272 
   6.60838   0.003346   0.000271 
   6.63862   0.002961   0.000281 
   6.66886   0.003091   0.000245 
   6.69910   0.002801   0.000251 
   6.72935   0.002813   0.000259 
   6.75959   0.003154   0.000279 
   6.78983   0.002897   0.000259 
   6.82007   0.002970   0.000271 
   6.85031   0.003108   0.000325 
   6.88056   0.003307   0.000289 
   6.91080   0.003372   0.000288 
   6.94104   0.002711   0.000332 
   6.97128   0.003210   0.000318 
   7.00152   0.002955   0.000335 
   7.03177   0.003011   0.000345 
   7.06201   0.003178   0.000358 
   7.09225   0.002854   0.000356 
   7.12249   0.003025   0.000361 
   7.15273   0.002987   0.000352 
   7.18298   0.003016   0.000343 
   7.21322   0.003317   0.000328 
   7.24346   0.003266   0.000352 
   7.27370   0.003578   0.000393 
   7.30394   0.003249   0.000404 
   7.33419   0.003108   0.000442 
   7.36443   0.003079   0.000527 
   7.39467   0.003010   0.000746 
   7.42491   0.002838   0.000385 
   7.45515   0.002860   0.000392 
   7.48540   0.002962   0.000397 
   7.51564   0.002797   0.000333 
   7.57612   0.002880   0.000255 
   7.63660   0.002688   0.000234 
   7.69709   0.002498   0.000209 
   7.75757   0.002655   0.000192 
   7.81805   0.002963   0.000187 
   7.87854   0.003085   0.000196 
   7.93902   0.002799   0.000184 
