#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.003403   0.000175 
   5.24749   0.003447   0.000177 
   5.27773   0.003398   0.000184 
   5.30797   0.003439   0.000231 
   5.33821   0.003438   0.000197 
   5.36846   0.003223   0.000161 
   5.39870   0.003155   0.000163 
   5.42894   0.003343   0.000156 
   5.45918   0.003270   0.000146 
   5.48942   0.003225   0.000166 
   5.51967   0.002920   0.000134 
   5.54991   0.002939   0.000140 
   5.58015   0.003038   0.000137 
   5.61039   0.003090   0.000140 
   5.64063   0.003285   0.000136 
   5.67088   0.003079   0.000132 
   5.70112   0.002637   0.000129 
   5.73136   0.002660   0.000136 
   5.76160   0.002561   0.000133 
   5.79184   0.002895   0.000140 
   5.82209   0.002677   0.000144 
   5.85233   0.002508   0.000144 
   5.88257   0.002476   0.000138 
   5.91281   0.002609   0.000134 
   5.94305   0.002868   0.000145 
   5.97330   0.002953   0.000137 
   6.00354   0.003179   0.000138 
   6.03378   0.002820   0.000133 
   6.06402   0.002862   0.000144 
   6.09426   0.003135   0.000168 
   6.12451   0.003397   0.000137 
   6.15475   0.003233   0.000133 
   6.18499   0.003166   0.000151 
   6.21523   0.003233   0.000126 
   6.24547   0.003222   0.000146 
   6.27572   0.003179   0.000146 
   6.30596   0.003319   0.000147 
   6.33620   0.003103   0.000231 
   6.36644   0.002819   0.000156 
   6.39668   0.002741   0.000152 
   6.42693   0.002632   0.000141 
   6.45717   0.002712   0.000145 
   6.48741   0.002865   0.000157 
   6.51765   0.002251   0.000157 
   6.54789   0.002218   0.000173 
   6.57814   0.002015   0.000176 
   6.60838   0.001954   0.000170 
   6.63862   0.002225   0.000160 
   6.66886   0.002277   0.000172 
   6.69910   0.001956   0.000178 
   6.72935   0.002358   0.000170 
   6.75959   0.002211   0.000176 
   6.78983   0.002161   0.000185 
   6.82007   0.002144   0.000185 
   6.85031   0.002136   0.000184 
   6.88056   0.002251   0.000203 
   6.91080   0.002273   0.000197 
   6.94104   0.002233   0.000204 
   6.97128   0.002536   0.000207 
   7.00152   0.002781   0.000226 
   7.03177   0.002259   0.000230 
   7.06201   0.001863   0.000231 
   7.09225   0.002132   0.000218 
   7.12249   0.001774   0.000214 
   7.15273   0.001908   0.000403 
   7.18298   0.002184   0.000219 
   7.21322   0.001861   0.000210 
   7.24346   0.001888   0.000456 
   7.27370   0.002404   0.000293 
   7.30394   0.002383   0.000244 
   7.33419   0.002398   0.000249 
   7.36443   0.002268   0.000260 
   7.39467   0.002249   0.000290 
   7.42491   0.002155   0.000316 
   7.45515   0.001812   0.000276 
   7.48540   0.001878   0.000308 
   7.51564   0.002262   0.000185 
   7.57612   0.002106   0.000181 
   7.63660   0.002135   0.000168 
   7.69709   0.001955   0.000171 
   7.75757   0.002140   0.000136 
   7.81805   0.002248   0.000126 
   7.87854   0.002283   0.000144 
   7.93902   0.002201   0.000144 
   7.99951   0.001987   0.000177 
   8.05999   0.002069   0.000107 
   8.12047   0.001932   0.000104 
   8.18096   0.001879   0.000104 
   8.24144   0.002020   0.000106 
   8.30192   0.002100   0.000111 
   8.36241   0.002086   0.000105 
   8.42289   0.002032   0.000100 
   8.48337   0.001874   0.000117 
   8.54386   0.002162   0.000101 
