#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.001150   0.000097 
   5.24749   0.001120   0.000083 
   5.27773   0.001114   0.000088 
   5.30797   0.000982   0.000077 
   5.33821   0.001207   0.000081 
   5.36846   0.000844   0.000077 
   5.39870   0.000905   0.000080 
   5.42894   0.000770   0.000073 
   5.45918   0.000693   0.000069 
   5.48942   0.000733   0.000073 
   5.51967   0.000732   0.000063 
   5.54991   0.000511   0.000065 
   5.58015   0.000551   0.000066 
   5.61039   0.000772   0.000066 
   5.64063   0.000545   0.000063 
   5.67088   0.000590   0.000064 
   5.70112   0.000742   0.000066 
   5.73136   0.000841   0.000060 
   5.76160   0.000603   0.000065 
   5.79184   0.000644   0.000064 
   5.82209   0.000648   0.000064 
   5.85233   0.000570   0.000066 
   5.88257   0.000549   0.000067 
   5.91281   0.000575   0.000065 
   5.94305   0.000444   0.000070 
   5.97330   0.000581   0.000066 
   6.00354   0.000868   0.000070 
   6.03378   0.000498   0.000068 
   6.06402   0.000609   0.000068 
   6.09426   0.000746   0.000069 
   6.12451   0.000852   0.000069 
   6.15475   0.000725   0.000072 
   6.18499   0.000683   0.000073 
   6.21523   0.000968   0.000065 
   6.24547   0.000992   0.000066 
   6.27572   0.000968   0.000066 
   6.30596   0.001155   0.000075 
   6.33620   0.000888   0.000077 
   6.36644   0.000691   0.000082 
   6.39668   0.000692   0.000081 
   6.42693   0.000927   0.000082 
   6.45717   0.000610   0.000077 
   6.48741   0.000534   0.000079 
   6.51765   0.000475   0.000097 
   6.54789   0.000416   0.000097 
   6.57814   0.000463   0.000100 
   6.60838   0.000535   0.000101 
   6.63862   0.000589   0.000098 
   6.66886   0.000821   0.000099 
   6.69910   0.000761   0.000093 
   6.72935   0.000723   0.000101 
   6.75959   0.000544   0.000099 
   6.78983   0.000500   0.000108 
   6.82007   0.000441   0.000109 
   6.85031   0.000766   0.000109 
   6.88056   0.000753   0.000119 
   6.91080   0.000470   0.000120 
   6.94104   0.000498   0.000125 
   6.97128   0.000493   0.000132 
   7.00152   0.000520   0.000134 
   7.03177   0.000529   0.000133 
   7.06201   0.000823   0.000135 
   7.09225   0.000781   0.000120 
   7.12249   0.000767   0.000122 
   7.15273   0.000759   0.000118 
   7.18298   0.000620   0.000108 
   7.21322   0.000435   0.000116 
   7.24346   0.000589   0.000126 
   7.27370   0.000484   0.000129 
   7.30394   0.000685   0.000124 
   7.33419   0.000542   0.000131 
   7.36443   0.000581   0.000127 
   7.39467   0.000559   0.000131 
   7.42491   0.000699   0.000135 
   7.45515   0.000611   0.000137 
   7.48540   0.000619   0.000144 
   7.51564   0.000488   0.000090 
   7.57612   0.000556   0.000086 
   7.63660   0.000611   0.000082 
   7.69709   0.000359   0.000074 
   7.75757   0.000394   0.000073 
   7.81805   0.000517   0.000065 
   7.87854   0.000586   0.000065 
   7.93902   0.000619   0.000059 
   7.99951   0.000439   0.000057 
   8.05999   0.000501   0.000055 
   8.12047   0.000605   0.000054 
   8.18096   0.000523   0.000055 
   8.24144   0.000707   0.000053 
   8.30192   0.000734   0.000052 
   8.36241   0.000718   0.000049 
   8.42289   0.000668   0.000045 
   8.48337   0.000915   0.000044 
   8.54386   0.001004   0.000046 
   8.60434   0.000904   0.000042 
   8.66483   0.000996   0.000040 
   8.72531   0.000867   0.000035 
   8.78579   0.000933   0.000033 
   8.84628   0.001008   0.000031 
   8.90676   0.000919   0.000033 
   8.96724   0.001079   0.000035 
   9.02773   0.001164   0.000035 
   9.08821   0.001119   0.000034 
   9.14869   0.001019   0.000035 
   9.20918   0.001200   0.000035 
   9.26966   0.001173   0.000037 
   9.33015   0.001101   0.000048 
   9.39063   0.001211   0.000050 
   9.45111   0.001230   0.000049 
   9.51160   0.001351   0.000050 
   9.57208   0.001305   0.000046 
   9.63256   0.001240   0.000049 
   9.69305   0.001216   0.000048 
   9.75353   0.001280   0.000049 
   9.81401   0.001376   0.000050 
   9.87450   0.001253   0.000047 
   9.93498   0.001322   0.000049 
   9.99547   0.001396   0.000047 
  10.05595   0.001471   0.000048 
  10.11643   0.001492   0.000049 
  10.17692   0.001377   0.000053 
  10.23740   0.001478   0.000049 
  10.29788   0.001248   0.000051 
  10.35837   0.000869   0.000053 
  10.41885   0.000824   0.000052 
  10.47933   0.000806   0.000052 
  10.53982   0.000914   0.000053 
  10.60030   0.001077   0.000055 
  10.66079   0.001043   0.000057 
  10.72127   0.000881   0.000056 
  10.78175   0.000842   0.000059 
  10.84224   0.000961   0.000062 
