#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.002300   0.000187 
   5.24749   0.002671   0.000163 
   5.27773   0.002421   0.000153 
   5.30797   0.002292   0.000146 
   5.33821   0.002358   0.000155 
   5.36846   0.002211   0.000149 
   5.39870   0.002494   0.000143 
   5.42894   0.002255   0.000134 
   5.45918   0.002162   0.000136 
   5.48942   0.002060   0.000122 
   5.51967   0.002036   0.000134 
   5.54991   0.001982   0.000131 
   5.58015   0.002168   0.000122 
   5.61039   0.002300   0.000233 
   5.64063   0.002143   0.000117 
   5.67088   0.002155   0.000122 
   5.70112   0.001954   0.000132 
   5.73136   0.001969   0.000109 
   5.76160   0.001933   0.000117 
   5.79184   0.001944   0.000120 
   5.82209   0.002071   0.000120 
   5.85233   0.001949   0.000120 
   5.88257   0.002010   0.000121 
   5.91281   0.002156   0.000132 
   5.94305   0.002276   0.000112 
   5.97330   0.002345   0.000125 
   6.00354   0.002233   0.000122 
   6.03378   0.002228   0.000129 
   6.06402   0.002197   0.000125 
   6.09426   0.002418   0.000124 
   6.12451   0.002467   0.000127 
   6.15475   0.002128   0.000153 
   6.18499   0.002294   0.000128 
   6.21523   0.002539   0.000133 
   6.24547   0.002627   0.000136 
   6.27572   0.002532   0.000144 
   6.30596   0.002449   0.000132 
   6.33620   0.002351   0.000145 
   6.36644   0.002233   0.000138 
   6.39668   0.002253   0.000139 
   6.42693   0.001864   0.000141 
   6.45717   0.001728   0.000126 
   6.48741   0.001648   0.000145 
   6.51765   0.001679   0.000156 
   6.54789   0.001643   0.000179 
   6.57814   0.001473   0.000168 
   6.60838   0.001407   0.000167 
   6.63862   0.001550   0.000376 
   6.66886   0.001530   0.000189 
   6.69910   0.001425   0.000161 
   6.72935   0.001420   0.000162 
   6.75959   0.001441   0.000162 
   6.78983   0.001413   0.000174 
   6.82007   0.001363   0.000169 
   6.85031   0.001382   0.000185 
   6.88056   0.001948   0.000210 
   6.91080   0.002184   0.000195 
   6.94104   0.002120   0.000187 
   6.97128   0.002010   0.000210 
   7.00152   0.001856   0.000225 
   7.03177   0.002152   0.000219 
   7.06201   0.002100   0.000248 
   7.09225   0.001573   0.000218 
   7.12249   0.001450   0.000354 
   7.15273   0.001471   0.000208 
   7.18298   0.001667   0.000301 
   7.21322   0.001695   0.000274 
   7.24346   0.001735   0.000266 
   7.27370   0.001662   0.000241 
   7.30394   0.001659   0.000240 
   7.33419   0.001703   0.000226 
   7.36443   0.001958   0.000250 
   7.39467   0.001861   0.000402 
   7.42491   0.001821   0.000228 
   7.45515   0.001640   0.000266 
   7.48540   0.001632   0.000278 
   7.51564   0.001653   0.000160 
   7.57612   0.001742   0.000156 
   7.63660   0.001764   0.000150 
   7.69709   0.001528   0.000131 
   7.75757   0.001533   0.000116 
   7.81805   0.001536   0.000108 
   7.87854   0.001473   0.000115 
   7.93902   0.001672   0.000104 
   7.99951   0.001703   0.000102 
   8.05999   0.001645   0.000101 
   8.12047   0.001731   0.000099 
   8.18096   0.001733   0.000099 
   8.24144   0.001589   0.000107 
   8.30192   0.001410   0.000109 
   8.36241   0.001272   0.000092 
   8.42289   0.001429   0.000088 
   8.48337   0.001583   0.000089 
   8.54386   0.001427   0.000089 
   8.60434   0.001509   0.000094 
   8.66483   0.001589   0.000114 
   8.72531   0.001481   0.000107 
   8.78579   0.001284   0.000095 
   8.84628   0.001416   0.000089 
   8.90676   0.001336   0.000097 
   8.96724   0.001413   0.000110 
   9.02773   0.001273   0.000099 
   9.08821   0.001301   0.000098 
   9.14869   0.001459   0.000098 
   9.20918   0.001321   0.000100 
   9.26966   0.001125   0.000112 
   9.33015   0.001192   0.000107 
   9.39063   0.001287   0.000116 
   9.45111   0.001304   0.000147 
   9.51160   0.001311   0.000114 
   9.57208   0.001208   0.000115 
   9.63256   0.001272   0.000114 
   9.69305   0.001199   0.000109 
   9.75353   0.001172   0.000181 
   9.81401   0.001205   0.000152 
   9.87450   0.001333   0.000151 
   9.93498   0.001284   0.000117 
   9.99547   0.001237   0.000105 
  10.05595   0.001336   0.000104 
  10.11643   0.001181   0.000104 
  10.17692   0.001322   0.000117 
  10.23740   0.001241   0.000127 
  10.29788   0.000958   0.000107 
  10.35837   0.000898   0.000104 
  10.41885   0.000964   0.000128 
  10.47933   0.001094   0.000112 
  10.53982   0.001231   0.000110 
  10.60030   0.001227   0.000120 
  10.66079   0.001180   0.000119 
  10.72127   0.001173   0.000119 
  10.78175   0.001086   0.000123 
  10.84224   0.001041   0.000129 
  10.90272   0.000984   0.000134 
  10.96320   0.001086   0.000138 
  11.02369   0.001111   0.000145 
  11.08417   0.000955   0.000147 
  11.14465   0.001248   0.000174 
  11.20514   0.001181   0.000142 
  11.26562   0.001267   0.000150 
  11.32611   0.001170   0.000147 
  11.38659   0.001142   0.000153 
  11.44707   0.001164   0.000146 
  11.50756   0.000980   0.000173 
  11.56804   0.001175   0.000221 
  11.62852   0.001294   0.000177 
  11.68901   0.001249   0.000163 
  11.74949   0.000852   0.000180 
  11.80997   0.000907   0.000170 
  11.87046   0.000877   0.000166 
  11.93094   0.000932   0.000166 
  11.99143   0.000871   0.000168 
  12.05191   0.001072   0.000175 
  12.11239   0.001084   0.000202 
  12.17288   0.001135   0.000192 
  12.23336   0.000956   0.000170 
  12.29384   0.000737   0.000171 
  12.35433   0.000795   0.000216 
  12.41481   0.000837   0.000221 
  12.47529   0.000781   0.000167 
  12.53578   0.000973   0.000166 
  12.59626   0.001015   0.000162 
  12.65675   0.000912   0.000161 
  12.71723   0.001095   0.000166 
  12.77771   0.001060   0.000166 
  12.83820   0.001128   0.000176 
  12.89868   0.001023   0.000175 
  12.95916   0.001063   0.000186 
  13.01965   0.000978   0.000189 
  13.08013   0.000788   0.000199 
  13.14061   0.000744   0.000196 
  13.20110   0.000743   0.000204 
  13.26158   0.000846   0.000206 
  13.32206   0.000885   0.000209 
  13.38255   0.001051   0.000213 
  13.44303   0.001125   0.000232 
  13.50352   0.000852   0.000229 
  13.56400   0.000703   0.000262 
