#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.004643   0.000266 
   5.24749   0.005025   0.000302 
   5.27773   0.004927   0.000295 
   5.30797   0.004626   0.000268 
   5.33821   0.004589   0.000253 
   5.36846   0.004711   0.000231 
   5.39870   0.004475   0.000232 
   5.42894   0.004470   0.000231 
   5.45918   0.004539   0.000269 
   5.48942   0.004368   0.000255 
   5.51967   0.004201   0.000202 
   5.54991   0.004397   0.000201 
   5.58015   0.004182   0.000197 
   5.61039   0.004283   0.000232 
   5.64063   0.004257   0.000207 
   5.67088   0.004555   0.000195 
   5.70112   0.004411   0.000202 
   5.73136   0.004139   0.000206 
   5.76160   0.004388   0.000225 
   5.79184   0.004456   0.000191 
   5.82209   0.004037   0.000204 
   5.85233   0.004104   0.000198 
   5.88257   0.004176   0.000219 
   5.91281   0.004201   0.000227 
   5.94305   0.004055   0.000207 
   5.97330   0.003885   0.000220 
   6.00354   0.003805   0.000209 
   6.03378   0.004006   0.000204 
   6.06402   0.004132   0.000192 
   6.09426   0.004137   0.000196 
   6.12451   0.004166   0.000223 
   6.15475   0.004263   0.000226 
   6.18499   0.004103   0.000224 
   6.21523   0.004291   0.000240 
   6.24547   0.004451   0.000218 
   6.27572   0.004367   0.000228 
   6.30596   0.004297   0.000250 
   6.33620   0.004598   0.000267 
   6.36644   0.004595   0.000286 
   6.39668   0.003867   0.000266 
   6.42693   0.003445   0.000266 
   6.45717   0.003886   0.000254 
   6.48741   0.003525   0.000261 
   6.51765   0.003197   0.000249 
   6.54789   0.003465   0.000284 
   6.57814   0.003366   0.000300 
   6.60838   0.003300   0.000295 
   6.63862   0.003459   0.000269 
   6.66886   0.003798   0.000262 
   6.69910   0.003316   0.000279 
   6.72935   0.003445   0.000272 
   6.75959   0.003640   0.000306 
   6.78983   0.003044   0.000301 
   6.82007   0.003195   0.000318 
   6.85031   0.003560   0.000290 
   6.88056   0.003262   0.000288 
   6.91080   0.003280   0.000309 
   6.94104   0.003256   0.000367 
   6.97128   0.003134   0.000353 
   7.00152   0.003448   0.000369 
   7.03177   0.003038   0.000365 
   7.06201   0.003107   0.000372 
   7.09225   0.002989   0.000383 
   7.12249   0.003077   0.000381 
   7.15273   0.002701   0.000369 
   7.18298   0.002780   0.000362 
   7.21322   0.002681   0.000379 
   7.24346   0.003012   0.000369 
   7.27370   0.002819   0.000402 
   7.30394   0.002833   0.000411 
   7.33419   0.002626   0.000676 
   7.36443   0.002423   0.000438 
   7.39467   0.002601   0.000384 
   7.42491   0.002575   0.000428 
   7.45515   0.002831   0.000417 
   7.48540   0.003081   0.000434 
   7.51564   0.002827   0.000251 
   7.57612   0.003018   0.000228 
   7.63660   0.002952   0.000229 
   7.69709   0.003051   0.000197 
   7.75757   0.002769   0.000179 
   7.81805   0.002490   0.000191 
   7.87854   0.002349   0.000160 
   7.93902   0.002664   0.000163 
   7.99951   0.002651   0.000164 
   8.05999   0.002843   0.000162 
   8.12047   0.002720   0.000146 
   8.18096   0.002646   0.000161 
   8.24144   0.002696   0.000157 
   8.30192   0.002810   0.000160 
   8.36241   0.002350   0.000153 
   8.42289   0.002385   0.000138 
   8.48337   0.002317   0.000143 
   8.54386   0.002209   0.000159 
   8.60434   0.002243   0.000187 
   8.66483   0.002209   0.000186 
   8.72531   0.002586   0.000198 
   8.78579   0.002469   0.000173 
   8.84628   0.002622   0.000180 
   8.90676   0.002348   0.000189 
   8.96724   0.002193   0.000185 
   9.02773   0.002324   0.000207 
   9.08821   0.002225   0.000230 
   9.14869   0.002500   0.000223 
   9.20918   0.002576   0.000212 
   9.26966   0.002154   0.000206 
   9.33015   0.002224   0.000209 
   9.39063   0.002171   0.000215 
   9.45111   0.002412   0.000210 
   9.51160   0.002103   0.000338 
   9.57208   0.002184   0.000246 
   9.63256   0.002348   0.000226 
   9.69305   0.001938   0.000220 
   9.75353   0.002075   0.000267 
   9.81401   0.001998   0.000224 
   9.87450   0.002109   0.000213 
   9.93498   0.001951   0.000208 
   9.99547   0.002243   0.000206 
  10.05595   0.001892   0.000206 
  10.11643   0.002069   0.000199 
  10.17692   0.002020   0.000222 
  10.23740   0.001873   0.000201 
  10.29788   0.002031   0.000203 
  10.35837   0.001773   0.000212 
  10.41885   0.001802   0.000213 
  10.47933   0.001996   0.000221 
  10.53982   0.001949   0.000232 
  10.60030   0.001681   0.000226 
  10.66079   0.001760   0.000232 
  10.72127   0.001827   0.000239 
  10.78175   0.002081   0.000256 
  10.84224   0.001914   0.000255 
  10.90272   0.002085   0.000268 
  10.96320   0.001839   0.000266 
  11.02369   0.001729   0.000284 
  11.08417   0.001577   0.000283 
  11.14465   0.001385   0.000275 
  11.20514   0.001260   0.000280 
  11.26562   0.001814   0.000303 
  11.32611   0.001711   0.000299 
  11.38659   0.001638   0.000294 
  11.44707   0.001461   0.000309 
  11.50756   0.001246   0.000312 
  11.56804   0.001403   0.000301 
  11.62852   0.001301   0.000317 
  11.68901   0.001563   0.000328 
  11.74949   0.001744   0.000333 
  11.80997   0.001660   0.000328 
  11.87046   0.001085   0.000325 
  11.93094   0.001347   0.000317 
  11.99143   0.001201   0.000318 
  12.05191   0.001292   0.000331 
  12.11239   0.001315   0.000332 
  12.17288   0.001534   0.000331 
  12.23336   0.001594   0.000330 
  12.29384   0.001416   0.000340 
  12.35433   0.000891   0.000327 
  12.41481   0.000996   0.000316 
  12.47529   0.001128   0.000314 
  12.53578   0.001238   0.000309 
  12.59626   0.001044   0.000311 
  12.65675   0.000987   0.000315 
  12.71723   0.000873   0.000319 
  12.77771   0.000999   0.000323 
  12.83820   0.001073   0.000325 
  12.89868   0.000942   0.000340 
  12.95916   0.000941   0.000353 
  13.01965   0.001171   0.000381 
  13.08013   0.001128   0.000381 
  13.14061   0.001402   0.000387 
  13.20110   0.001381   0.000410 
  13.26158   0.001286   0.000400 
  13.32206   0.001486   0.000428 
  13.38255   0.001465   0.000587 
  13.44303   0.001399   0.000611 
  13.50352   0.001380   0.000437 
  13.56400   0.001413   0.000503 
  13.62448   0.001596   0.000472 
  13.68497   0.001572   0.000471 
  13.74545   0.000857   0.000533 
  13.80593   0.000956   0.000491 
  13.86642   0.001196   0.000476 
  13.92690   0.001378   0.000500 
  13.98738   0.001527   0.000527 
  14.04787   0.001523   0.000536 
  14.10835   0.001363   0.000517 
  14.16884   0.001142   0.000524 
